label,confidence,xmin,ymin,xmax,ymax
0,0.1673169881105423,21,118,39,136
0,0.16729071736335754,316,55,335,73
0,0.16719308495521545,384,278,401,295
0,0.16710521280765533,559,76,578,95
0,0.16692163050174713,208,138,227,157
0,0.16688963770866394,3,213,19,231
0,0.16676150262355804,168,153,186,172
0,0.16672714054584503,443,78,462,96
0,0.16658081114292145,35,152,53,171
0,0.1663808822631836,377,277,395,294
0,0.16633278131484985,509,84,527,102
0,0.16625243425369263,28,201,47,220
0,0.16615760326385498,9,103,27,121
0,0.16611620783805847,609,320,628,334
0,0.16603071987628937,235,27,253,45
0,0.1659800261259079,616,143,635,162
0,0.1659759283065796,28,244,46,263
0,0.16586677730083466,143,55,161,73
0,0.1658220887184143,61,152,81,171
0,0.1657923460006714,187,115,205,133
0,0.16557885706424713,267,63,285,80
0,0.16549278795719147,600,310,618,329
0,0.16546456515789032,676,120,690,138
0,0.16533635556697845,3,136,20,154
0,0.16520757973194122,203,2,221,19
0,0.16508325934410095,417,79,436,97
0,0.1648663878440857,478,136,495,153
0,0.16480889916419983,77,170,96,189
0,0.16477055847644806,228,28,246,45
0,0.1647702008485794,547,134,564,152
0,0.16462987661361694,152,4,170,21
0,0.16461977362632751,137,45,155,62
0,0.16459797322750092,509,94,527,112
0,0.16452884674072266,534,53,551,70
0,0.16435712575912476,617,133,636,153
0,0.16428928077220917,144,195,163,213
0,0.16417740285396576,410,14,428,33
0,0.16395241022109985,243,45,261,62
0,0.16380813717842102,10,110,28,128
0,0.16362589597702026,327,268,345,285
0,0.16361597180366516,544,202,561,220
0,0.16360235214233398,591,131,611,153
0,0.16348858177661896,228,13,246,31
0,0.16347430646419525,410,120,429,138
0,0.16331903636455536,292,295,310,312
0,0.16329257190227509,435,78,454,96
0,0.1632055938243866,610,119,630,139
0,0.16311807930469513,317,294,335,312
0,0.16299818456172943,153,252,170,270
0,0.16295264661312103,676,127,690,145
0,0.16293050348758698,11,136,28,154
0,0.16290214657783508,458,121,476,139
0,0.16284692287445068,510,109,528,127
0,0.1628013253211975,214,281,232,300
0,0.16274775564670563,458,79,477,97
0,0.16243459284305573,92,320,111,334
0,0.16234955191612244,543,210,561,228
0,0.16217933595180511,211,2,229,20
0,0.16190646588802338,29,212,46,230
0,0.1617603302001953,376,103,394,122
0,0.1617412120103836,676,136,690,153
0,0.16169387102127075,425,127,443,146
0,0.16161537170410156,377,268,395,285
0,0.1616114228963852,4,202,22,220
0,0.1615627110004425,144,178,163,196
0,0.16137130558490753,599,132,619,153
0,0.16124744713306427,4,1,25,17
0,0.1612001359462738,510,103,528,120
0,0.16113480925559998,384,93,403,112
0,0.16106683015823364,86,300,105,318
0,0.16089880466461182,277,36,295,54
0,0.16058647632598877,625,53,643,72
0,0.16034530103206635,311,53,330,71
0,0.16032478213310242,393,13,412,32
0,0.1603037714958191,384,13,402,31
0,0.1601698249578476,11,119,29,136
0,0.16014182567596436,619,43,637,61
0,0.16013503074645996,375,120,394,139
0,0.15995503962039948,394,286,413,304
0,0.1598278284072876,425,79,444,97
0,0.1597699075937271,616,160,637,181
0,0.1596154272556305,92,310,111,328
0,0.15953008830547333,617,167,638,189
0,0.1593298763036728,367,277,385,294
0,0.1590391993522644,252,308,270,326
0,0.15893420577049255,286,277,304,294
0,0.15872548520565033,625,244,640,261
0,0.15872052311897278,436,127,455,145
0,0.15851043164730072,146,4,163,21
0,0.15831038355827332,376,19,394,37
0,0.15823757648468018,153,261,172,278
0,0.15821698307991028,384,268,401,285
0,0.15815962851047516,533,227,551,245
0,0.1580551415681839,6,22,25,41
0,0.15771695971488953,28,143,46,160
0,0.1576995551586151,185,143,203,161
0,0.15768642723560333,2,318,22,334
0,0.15726731717586517,21,135,39,154
0,0.15719819068908691,136,20,154,39
0,0.1571139395236969,393,3,412,21
0,0.15703421831130981,384,286,402,304
0,0.15703001618385315,409,278,427,295
0,0.1569702923297882,286,285,304,303
0,0.1569516509771347,220,63,238,80
0,0.1568804234266281,657,98,676,117
0,0.1567641943693161,110,67,129,86
0,0.15675275027751923,624,167,645,187
0,0.15672427415847778,384,3,402,21
0,0.15671084821224213,359,276,377,293
0,0.15668362379074097,327,55,346,73
0,0.15655700862407684,152,242,170,260
0,0.15654200315475464,135,11,154,30
0,0.15648455917835236,219,53,237,71
0,0.15642426908016205,626,109,644,128
0,0.15638935565948486,216,27,235,44
0,0.1563706248998642,135,5,153,22
0,0.15603679418563843,3,110,20,128
0,0.15603002905845642,260,28,278,45
0,0.15567220747470856,647,171,664,188
0,0.1555890142917633,152,11,170,29
0,0.15548157691955566,518,162,536,179
0,0.15538276731967926,574,142,594,164
0,0.15537400543689728,20,143,38,161
0,0.15535296499729156,608,133,628,153
0,0.15516814589500427,195,153,213,171
0,0.1551162153482437,417,128,435,146
0,0.15503516793251038,51,86,70,104
0,0.15491899847984314,518,210,536,228
0,0.15488530695438385,262,295,281,313
0,0.15473514795303345,268,51,286,68
0,0.1546897143125534,434,267,454,287
0,0.15459291636943817,93,299,112,318
